bibliographical.reference,coder,nrow,doi,nb.found,author1,year,journal,pub.type,data.site,stimuli.site,exp.condition,native.language,infant.type,min.age.days,mean.age.days,mean.age.Notes,max.age.days,nb.included,nb.excluded.total,fussers,non.criterion,exclusion.Criteria,same.infant.no,same.infant,nativeness,contrast_pseudoIPA,contrast_sampa,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,stimuli.notes,F1.1,F2.1,F1.2,F2.2,duration.word.1,duration.word.2,duration.vowel.1,duration.vowel.2,frequency.1,frequency.2,frequency.source,method,design,method.notes,results.extra,t,F,df,HAS.experimental,HAS.experimental.SD,HAS.control.nb,HAS.control,HAS.control.SD,CF.corr.same.switch,CF.difference,CF.same.SD,CF.switch.SD,CHT.pc,CHT.pc.SD,CHT.dprime,CHT.dprime.SD,CHT.Aprime,CHT.Aprime.SD,NIRS.DIFF,NIRS.DIFF.SD,NIRS.LI,NIRS.LI.SD,ERP.MMR.peakamplitude,ERP.MMR.peakamplitude.SD,MSDapprox,notes,specdif,tdif.count,tdif.dir,dur,featdif,attrition,fodif.count,fodif.dir,EffectSize,Formulas.used,ES.SE,ES.w,ES.type,CF.pooled,HAS.pooled
"Figueras Montiu, M., & Bosch Galceran, L. (2010). Capacidades de discriminaci?n fon?tica de un contraste voc?lico nativo en el prematuro. Psicothema 22(4), 669-676. Retrieved from http://www.unioviedo.es/reunido/index.php/PST/article/view/8935",ac,60,NA,14,Figueras,2010,Psicothema,article,NA,NA,exp1,mixed,premature,115,134,mean,164,14,NA,NA,NA,NA,60,no,native,dodi-dudi_,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = o, second u (averaging over fam and test tokens); dur: o 856 u 916.67; o 843.17 u 873.67; F1/F2/F3.1: o 549/1211, u 377/995; F1/F2/F3.2: o 526/1131 u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers; ACOUSTIC ANALYSES FROM  SEB-GAL & BOSCH 2009; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,HPP-FAM,within,"fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: 0.571428571428571; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35,6.78,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"CORRECTED age;also report means, SD and t between first and last familiarization trial",1.729450848,1.599689503,NA,226.0625,1,NA,NA,NA,-0.05242153963,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,6.482179417,NA
"Figueras Montiu, M., & Bosch Galceran, L. (2010). Capacidades de discriminaci?n fon?tica de un contraste voc?lico nativo en el prematuro. Psicothema 22(4), 669-676. Retrieved from http://www.unioviedo.es/reunido/index.php/PST/article/view/8935",ac,61,NA,14,Figueras,2010,Psicothema,article,NA,NA,exp1,mixed,standard,123,140,mean,154,14,NA,NA,NA,NA,61,no,native,dodi-dudi_,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = fam, second stim = test; F1/F2/F3.1: o 549/1211, u 377/995; F1/F2/F3.2: o 526/1131 u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers; ACOUSTIC ANALYSES FROM  SEB-GAL & BOSCH 2009; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,HPP-FAM,within,"fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: 0.928571428571429; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,6.44,5.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,";also report means, SD and t between first and last familiarization trial",1.729450848,1.599689503,NA,226.0625,1,NA,NA,NA,0.55920552,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,6.076582099,NA
"Figueras Montiu, M., & Bosch Galceran, L. (2010). Capacidades de discriminaci?n fon?tica de un contraste voc?lico nativo en el prematuro. Psicothema 22(4), 669-676. Retrieved from http://www.unioviedo.es/reunido/index.php/PST/article/view/8935",ac,62,NA,14,Figueras,2010,Psicothema,article,NA,NA,exp2,mixed,premature,236,253,mean,317,14,NA,NA,NA,NA,62,no,native,dodi-dudi_,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = fam, second stim = test; F1/F2/F3.1: o 549/1211, u 377/995; F1/F2/F3.2: o 526/1131 u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers; ACOUSTIC ANALYSES FROM  SEB-GAL & BOSCH 2009; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,HPP-FAM,within,"fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: 0.642857142857143; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.228,7.334,8.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"CORRECTED age;also report means, SD and t between first and last familiarization trial",1.729450848,1.599689503,NA,226.0625,1,NA,NA,NA,0.3850894485,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,8.1383185,NA
"Figueras Montiu, M., & Bosch Galceran, L. (2010). Capacidades de discriminaci?n fon?tica de un contraste voc?lico nativo en el prematuro. Psicothema 22(4), 669-676. Retrieved from http://www.unioviedo.es/reunido/index.php/PST/article/view/8935",ac,63,NA,14,Figueras,2010,Psicothema,article,NA,NA,exp2,mixed,standard,240,264,mean,285,14,NA,NA,NA,NA,63,no,native,dodi-dudi_,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = fam, second stim = test; F1/F2/F3.1: o 549/1211, u 377/995; F1/F2/F3.2: o 526/1131 u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers; ACOUSTIC ANALYSES FROM  SEB-GAL & BOSCH 2009; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,HPP-FAM,within,"fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: 0.857142857142857; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.828,4.366,5.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,";also report means, SD and t between first and last familiarization trial",1.729450848,1.599689503,NA,226.0625,1,NA,NA,NA,0.9742152606,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,4.811440377,NA
"Sebasti?n-Gall?s, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: is the distributional account all there is to it? Developmental science, 12(6), 874?87. ",ac,64,10.1111/j.1467-7687.2009.00829.x,15,Sebastian,2009,Developmental Science,article,NA,NA,exp1a,mixed,standard,131,142,mean,153,12,2,1.75,0,"fussiness, parental",64,no,native,dodi-dudi_,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = fam, second stim = test; Formant frequency mean values in Hz of the first two formants were obtained from a 150?200 ms central section of the target vowel; F1/F2/F3.1: o 549/1211, u 377/995; F1/F2/F3.2: o 526/1131 u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,HPP-FAM,within,"fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:simple, colorful animated images;size.in:NA;dist.from.child.in:NA;side.degrees:35;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,15.285,"1,22",NA,NA,NA,NA,NA,NA,3.21,6.90510922,6.30466494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,author_provided,1.729450848,1.599689503,NA,226.0625,1,0.1428571429,NA,NA,0.4687610088,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,6.61170679,NA
"Sebasti?n-Gall?s, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: is the distributional account all there is to it? Developmental science, 12(6), 874?87. ",ac,65,10.1111/j.1467-7687.2009.00829.x,15,Sebastian,2009,Developmental Science,article,NA,NA,exp1a,mixed,standard,244,268,mean,285,12,2,1.75,0,"fussiness, parental",65,no,native,dodi-dudi_,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = fam, second stim = test; Formant frequency mean values in Hz of the first two formants were obtained from a 150?200 ms central section of the target vowel; F1/F2/F3.1: o 549/1211, u 377/995; F1/F2/F3.2: o 526/1131 u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,HPP-FAM,within,"fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:simple, colorful animated images;size.in:NA;dist.from.child.in:NA;side.degrees:35;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,4.523,NA,11,NA,NA,NA,NA,NA,NA,5.391,4.272391992,6.02753681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,author_provided,1.729450848,1.599689503,NA,226.0625,1,0.1428571429,NA,NA,0.9963445792,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,5.224200098,NA
"Sebasti?n-Gall?s, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: is the distributional account all there is to it? Developmental science, 12(6), 874?87. ",ac,66,10.1111/j.1467-7687.2009.00829.x,15,Sebastian,2009,Developmental Science,article,NA,NA,exp1a,CatFrench,bilingual,133,141.17,mean,150,12,2,1.75,0,"fussiness, parental",66,no,native,dodi-dudi_,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = fam, second stim = test; Formant frequency mean values in Hz of the first two formants were obtained from a 150?200 ms central section of the target vowel; F1/F2/F3.1: o 549/1211, u 377/995; F1/F2/F3.2: o 526/1131 u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,HPP-FAM,within,"fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:simple, colorful animated images;size.in:NA;dist.from.child.in:NA;side.degrees:35;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.755,459.5708143,5.311622477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,author_provided,1.729450848,1.599689503,NA,226.0625,1,0.1428571429,NA,NA,0.008184934135,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,324.9873434,NA
"Sebasti?n-Gall?s, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: is the distributional account all there is to it? Developmental science, 12(6), 874?87. ",ac,67,10.1111/j.1467-7687.2009.00829.x,15,Sebastian,2009,Developmental Science,article,NA,NA,exp1a,CatFrench,bilingual,267.08,261,mean,280,12,2,1.75,0,"fussiness, parental",67,no,native,dodi-dudi_,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = fam, second stim = test; Formant frequency mean values in Hz of the first two formants were obtained from a 150?200 ms central section of the target vowel; F1/F2/F3.1: o 549/1211, u 377/995; F1/F2/F3.2: o 526/1131 u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,HPP-FAM,within,"fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:simple, colorful animated images;size.in:NA;dist.from.child.in:NA;side.degrees:35;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,11,NA,NA,NA,NA,NA,NA,-0.934,6.166100875,3.718135734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,author_provided,1.729450848,1.599689503,NA,226.0625,1,0.1428571429,NA,NA,-0.1771197832,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,5.091430709,NA
"Sebasti?n-Gall?s, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: is the distributional account all there is to it? Developmental science, 12(6), 874?87. ",ac,68,10.1111/j.1467-7687.2009.00829.x,15,Sebastian,2009,Developmental Science,article,NA,NA,exp1b,CatFrench,bilingual,366,379.59,mean,389,12,8,5,0,"fussiness, parental",68,no,native,dodi-dudi_,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = fam, second stim = test; Formant frequency mean values in Hz of the first two formants were obtained from a 150?200 ms central section of the target vowel; F1/F2/F3.1: o 549/1211, u 377/995; F1/F2/F3.2: o 526/1131 u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",537.5,1171,370,1022,849.585,896.635,278.21,173.915,NA,NA,NA,HPP-FAM,within,"fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:simple, colorful animated images;size.in:NA;dist.from.child.in:NA;side.degrees:35;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,3.107,NA,11,NA,NA,NA,NA,NA,NA,3.34,6.581793069,5.773502692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,author_provided,1.729450848,1.599689503,NA,226.0625,1,0.4,NA,NA,0.5209019407,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,6.190853469,NA
"Sebasti?n-Gall?s, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: is the distributional account all there is to it? Developmental science, 12(6), 874?87. ",ac,69,10.1111/j.1467-7687.2009.00829.x,15,Sebastian,2009,Developmental Science,article,NA,NA,exp2a,CatFrench,bilingual,NA,243.36,mean,NA,12,3,2,0,"fussiness, parental",69,no,native,dodi-dudi_,dodi-dudi_,not_looked_up,1,0,1,0,0,0,0,"comments_F: averages over all tokens; first stim = fam, second stim = test; Formant frequency mean values in Hz of the first two formants were obtained from a 150?200 ms central section of the target vowel; dur: o 894 u 884; dur test o 903 u 901; F1/F2/F3.1: o 498/1108, u 341/953; F1/F2/F3.2: o 495/1071 u 351/918; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 2 different female talkers; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",496.5,1089.5,346,935.5,898.5,892.5,335.585,181.4,NA,NA,NA,HPP-FAM,within,"fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:simple, colorful animated images;size.in:NA;dist.from.child.in:NA;side.degrees:35;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,11,NA,NA,NA,NA,NA,NA,0.88,5.438,6.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"NB!!!! AGE WAS NOT PROVIDED OTHER THAN '8MO';author provided SDs (except for E2a & 2b, where they are given in the article)",1.670028682,1.849972437,NA,258.4925,1,0.2,NA,NA,0.1381890497,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,6.148498557,NA
"Sebasti?n-Gall?s, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: is the distributional account all there is to it? Developmental science, 12(6), 874?87. ",ac,70,10.1111/j.1467-7687.2009.00829.x,15,Sebastian,2009,Developmental Science,article,NA,NA,exp2b,CatFrench,bilingual,NA,243.36,mean,NA,12,3,1,0,"fussiness, parental",70,no,native,do-du_,do-du_,not_looked_up,1,0,1,0,0,0,0,"comments_F: note, this was a subselection, and they are shown in a figure so we could eye-ball them (ST: not sure where the current values come from?); F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 1 talker; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",496.8333333,1095.611111,344.3333333,941.3888889,NA,NA,NA,NA,NA,NA,NA,HPP-FAM,within,"fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:simple, colorful animated images;size.in:NA;dist.from.child.in:NA;side.degrees:35;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,NA,NA,11,NA,NA,NA,NA,NA,NA,1.131,4.865,4.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"NB!!!! AGE WAS NOT PROVIDED OTHER THAN '8MO';author provided SDs (except for E2a & 2b, where they are given in the article)",1.684978351,NA,NA,NA,1,0.2,NA,NA,0.2388911312,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,4.571119885,NA
"Sebasti?n-Gall?s, N., & Bosch, L. (2009). Developmental shift in the discrimination of vowel contrasts in bilingual infants: is the distributional account all there is to it? Developmental science, 12(6), 874?87. ",ac,71,10.1111/j.1467-7687.2009.00829.x,15,Sebastian,2009,Developmental Science,article,NA,NA,exp3,mixed,standard,NA,121.68,mean,NA,12,NA,NA,NA,NA,71,no,native,dedi-dudi_,dedi-dudi_,not_looked_up,1,2,1,0,1,0,0,"comments_F: e taken from bosch & seb-gal 03; averages over all tokens; first stim = fam, second stim = test; Formant frequency mean values in Hz of the first two formants were obtained from a 150?200 ms central section of the target vowel; F1/F2/F3.1: e 452/2729, u 377/995; F1/F2/F3.2: e 443/2685, u 363/1049; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: 6 different female talkers for u, 5 different female talkers for e (this seems odd, perhaps there's an error and it wasn't the same stimuli as in bosh & seb-gal 2003?); voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",452,2729,370,1022,NA,NA,NA,NA,NA,NA,NA,HPP-FAM,within,"fam.length:NA;habituation.criterion:NA;proportion.same.change:0.5;max.trial.duration:25000;nb.tokens.trial:12;visual.stim:simple, colorful animated images;size.in:NA;dist.from.child.in:NA;side.degrees:35;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:4;CF.testDetails:2 same, 2 switch;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,4.03,NA,11,NA,NA,NA,NA,NA,NA,5.753,6.235382907,4.664990175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,"NB!!!! AGE WAS NOT PROVIDED OTHER THAN '8MO';author provided SDs (except for E2a & 2b, where they are given in the article)",6.460683463,NA,NA,NA,4,NA,NA,NA,1.0087468,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,5.506456816,NA
